Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65ee0a66587d6fd0d789c03d,62a76cb3209f192d4ac62bec,APPROVED,Not Applicable,2024-03-10T19:30:49.970000Z,2024-03-10T19:39:05.244000Z,2024-03-10T19:39:05.765000Z,2024-03-10T19:39:05.901207Z,496.0,C107BK71,513,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee0ac33cd8843ed98a00ac,65639fad4e584c4ad5531965,APPROVED,Not Applicable,2024-03-10T19:32:25.852000Z,2024-03-10T19:45:56.218000Z,2024-03-10T19:46:24.189000Z,2024-03-10T19:46:37.700435Z,811.0,C107BK71,216,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65ee0ac6eb0f3b5652d846b1,5f0736cfad4f1e0c3c838655,APPROVED,Not Applicable,2024-03-10T19:32:25.517000Z,2024-03-10T19:37:47.759000Z,2024-03-10T19:38:16.561000Z,2024-03-10T19:37:48.630424Z,323.0,C107BK71,485,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ee0ae12b12d78ff456d7ec,5eed11c3dea2cb12195f0c85,APPROVED,Not Applicable,2024-03-10T19:32:58.726000Z,2024-03-10T19:41:19.502000Z,2024-03-10T19:45:28.154000Z,2024-03-10T19:46:05.690875Z,501.0,C107BK71,826,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65ee0ae5daaf564ccc56dd45,5c88cfc680858000011363df,APPROVED,Not Applicable,2024-03-10T19:33:09.807000Z,2024-03-10T19:41:15.197000Z,2024-03-10T19:45:17.137000Z,2024-03-10T19:46:05.025931Z,486.0,C107BK71,1471,45,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ee0b32a87a76dad82a362b,6045a1851d1ba76f144dd6da,APPROVED,Not Applicable,2024-03-10T19:34:16.617000Z,2024-03-10T19:49:35.853000Z,2024-03-10T19:51:52.317000Z,2024-03-10T19:49:36.797624Z,920.0,C107BK71,29,35,Male,DATA_EXPIRED,United States,United States,United States,English,No,Other
65ee0b47bc066fbabece1ed5,56e20623ec0fdd000b41cef4,APPROVED,Not Applicable,2024-03-10T19:34:35.259000Z,2024-03-10T19:47:10.112000Z,2024-03-10T19:51:51.737000Z,2024-03-10T19:47:11.073930Z,755.0,C107BK71,250,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ee0b4bd65420e3db041b18,631f36f4a3e9bd18066a7b33,APPROVED,Not Applicable,2024-03-10T19:34:43.589000Z,2024-03-10T19:44:45.411000Z,2024-03-10T19:45:55.775000Z,2024-03-10T19:46:22.602364Z,602.0,C107BK71,348,23,Male,White,United States,United States,Morocco,English,DATA_EXPIRED,DATA_EXPIRED
65ee0b5561b6245064894c1d,63ee2b3e907b34680e9072b3,APPROVED,Not Applicable,2024-03-10T19:34:51.303000Z,2024-03-10T19:42:07.922000Z,2024-03-10T19:45:22.087000Z,2024-03-10T19:46:10.125910Z,437.0,C107BK71,328,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
65ee0b5b3dbad64a5148a326,62d6d6a47169c5dbd8cab2b4,RETURNED,Not Applicable,2024-03-10T19:34:56.812000Z,2024-03-10T19:38:48.061000Z,,2024-03-11T10:09:36.919970Z,,C1BH0PQA,33,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
